"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.42,"provisorisch"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.68,"provisorisch"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",9.32,"provisorisch"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",60.07,"provisorisch"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",70.15,"provisorisch"
"2023-01-10T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.12,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.2,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",12.51,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",4.31,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.31,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",46.06,"provisorisch"
