date,station,quartier,temperature
2022-02-28T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.47
2022-02-28T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.75
2022-02-28T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.73
2022-03-01T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,10.27
2022-03-01T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,10.48
2022-03-01T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,10.8
2022-03-02T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.45
2022-03-02T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,12.62
2022-03-02T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,12.71
2022-03-03T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.87
2022-03-03T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.59
2022-03-03T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.68
2022-03-04T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.7
2022-03-04T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,6.7
2022-03-04T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.78
2022-03-05T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,5.3
2022-03-05T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.15
2022-03-05T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,5.23
2022-03-06T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,5.26
2022-03-06T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.36
2022-03-06T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,5.39
2022-03-07T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.94
2022-03-07T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.02
2022-03-07T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.92
2022-03-08T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.12
2022-03-08T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,12.3
2022-03-08T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,12.43
2022-03-09T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,13.29
2022-03-09T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,13.53
2022-03-09T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.63
2022-03-10T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.97
2022-03-10T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,13.44
2022-03-10T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.05
2022-03-11T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,13.39
2022-03-11T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,13.77
2022-03-11T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.61
2022-03-12T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.23
2022-03-12T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.62
2022-03-12T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,16.52
2022-03-13T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,14.48
2022-03-13T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,14.39
2022-03-13T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,14.69
2022-03-14T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.86
2022-03-14T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.78
2022-03-14T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.73
2022-03-15T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,14.98
2022-03-15T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,15.38
2022-03-15T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.07
2022-03-16T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,14.89
2022-03-16T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,15.29
2022-03-16T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.08
2022-03-17T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.25
2022-03-17T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.64
2022-03-17T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.37
2022-03-18T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.46
2022-03-18T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,12.46
2022-03-18T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,12.42
2022-03-19T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.05
2022-03-19T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.24
2022-03-19T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,16.47
2022-03-20T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,15.77
