quartier,pflanzjahr,tree_count,crown_sum,total_sum,tree_sum
Hottingen,1997,9,72,9,130
Hottingen,1998,13,75,13,143
Hottingen,1999,1,10,1,144
Hottingen,2000,75,461,75,219
Hottingen,2001,3,13,3,222
Hottingen,2002,3,16,3,225
Hottingen,2003,13,76,13,238
Hottingen,2004,28,204,28,266
Hottingen,2005,23,110,23,289
Hottingen,2006,17,82,17,306
Hottingen,2007,18,84,18,324
Hottingen,2008,32,135,32,356
Hottingen,2009,13,47,13,369
Hottingen,2010,49,290,49,418
Hottingen,2011,11,38,11,429
Hottingen,2012,0,NA,NA,429
Hottingen,2013,8,21,8,437
Hottingen,2014,2,11,2,439
Hottingen,2015,14,59,14,453
Hottingen,2016,37,271,37,490
Hottingen,2017,17,62,17,507
Hottingen,2018,8,29,8,515
Hottingen,2019,5,16,5,520
Hottingen,2020,12,25,12,532
Hottingen,2021,13,36,13,545
Hottingen,2022,21,66,21,566
Hottingen,2023,0,NA,NA,566
Höngg,1983,0,NA,NA,0
Höngg,1984,4,22,4,4
Höngg,1985,27,196,27,31
Höngg,1986,4,21,4,35
Höngg,1987,2,12,2,37
Höngg,1988,10,34,10,47
Höngg,1989,4,20,4,51
Höngg,1990,211,1806,211,262
Höngg,1991,5,25,5,267
Höngg,1992,1,3,1,268
Höngg,1993,3,11,3,271
Höngg,1994,70,517,70,341
Höngg,1995,48,356,48,389
Höngg,1996,2,6,2,391
Höngg,1997,32,176,32,423
Höngg,1998,13,35,13,436
Höngg,1999,9,44,9,445
Höngg,2000,400,2925,400,845
Höngg,2001,28,134,28,873
Höngg,2002,18,80,18,891
Höngg,2003,18,82,18,909
Höngg,2004,16,62,16,925
Höngg,2005,97,602,97,1022
Höngg,2006,20,91,20,1042
Höngg,2007,117,434,117,1159
Höngg,2008,33,164,33,1192
Höngg,2009,22,86,22,1214
Höngg,2010,53,263,53,1267
Höngg,2011,109,255,109,1376
Höngg,2012,8,30,8,1384
Höngg,2013,39,258,39,1423
Höngg,2014,30,125,30,1453
Höngg,2015,50,167,50,1503
Höngg,2016,50,233,50,1553
Höngg,2017,61,302,61,1614
Höngg,2018,96,235,96,1710
Höngg,2019,34,174,34,1744
Höngg,2020,35,85,35,1779
Höngg,2021,39,200,39,1818
Höngg,2022,104,583,104,1922
Höngg,2023,0,NA,NA,1922
Langstrasse,1983,0,NA,NA,0
Langstrasse,1984,0,NA,NA,0
Langstrasse,1985,2,17,2,2
Langstrasse,1986,0,NA,NA,2
Langstrasse,1987,0,NA,NA,2
Langstrasse,1988,0,NA,NA,2
Langstrasse,1989,1,6,1,3
Langstrasse,1990,30,214,30,33
Langstrasse,1991,3,23,3,36
Langstrasse,1992,0,NA,NA,36
Langstrasse,1993,0,NA,NA,36
Langstrasse,1994,0,NA,NA,36
Langstrasse,1995,4,35,4,40
Langstrasse,1996,0,NA,NA,40
Langstrasse,1997,0,NA,NA,40
Langstrasse,1998,8,56,8,48
Langstrasse,1999,0,NA,NA,48
Langstrasse,2000,16,110,16,64
Langstrasse,2001,0,NA,NA,64
Langstrasse,2002,2,16,2,66
Langstrasse,2003,9,46,9,75
Langstrasse,2004,12,72,12,87
Langstrasse,2005,16,70,16,103
Langstrasse,2006,33,187,33,136
Langstrasse,2007,23,95,23,159
Langstrasse,2008,10,52,10,169
Langstrasse,2009,44,219,44,213
Langstrasse,2010,12,54,12,225
Langstrasse,2011,28,153,28,253
Langstrasse,2012,17,75,17,270
Langstrasse,2013,33,151,33,303
Langstrasse,2014,39,183,39,342
Langstrasse,2015,51,157,51,393
Langstrasse,2016,28,102,28,421
Langstrasse,2017,35,97,35,456
Langstrasse,2018,22,69,22,478
Langstrasse,2019,106,352,106,584
Langstrasse,2020,46,137,46,630
Langstrasse,2021,56,164,56,686
Langstrasse,2022,34,69,34,720
Langstrasse,2023,0,NA,NA,720
Leimbach,1983,0,NA,NA,0
Leimbach,1984,0,NA,NA,0
Leimbach,1985,28,207,28,28
Leimbach,1986,0,NA,NA,28
Leimbach,1987,7,54,7,35
Leimbach,1988,2,12,2,37
Leimbach,1989,1,3,1,38
Leimbach,1990,29,255,29,67
Leimbach,1991,1,6,1,68
Leimbach,1992,10,56,10,78
Leimbach,1993,0,NA,NA,78
Leimbach,1994,4,24,4,82
Leimbach,1995,32,191,32,114
Leimbach,1996,0,NA,NA,114
Leimbach,1997,1,6,1,115
Leimbach,1998,3,22,3,118
Leimbach,1999,7,50,7,125
Leimbach,2000,117,879,117,242
Leimbach,2001,3,15,3,245
Leimbach,2002,5,31,5,250
Leimbach,2003,65,337,65,315
Leimbach,2004,9,72,9,324
Leimbach,2005,68,450,68,392
Leimbach,2006,98,726,98,490
Leimbach,2007,7,46,7,497
Leimbach,2008,16,93,16,513
Leimbach,2009,145,1055,145,658
Leimbach,2010,91,402,91,749
Leimbach,2011,10,29,10,759
Leimbach,2012,40,100,40,799
Leimbach,2013,79,169,79,878
Leimbach,2014,6,15,6,884
Leimbach,2015,44,123,44,928
Leimbach,2016,56,176,56,984
Leimbach,2017,4,6,4,988
Leimbach,2018,14,36,14,1002
Leimbach,2019,33,68,33,1035
Leimbach,2020,18,37,18,1053
Leimbach,2021,38,145,38,1091
Leimbach,2022,54,133,54,1145
Leimbach,2023,0,NA,NA,1145
Lindenhof,1983,0,NA,NA,0
Lindenhof,1984,1,14,1,1
Lindenhof,1985,15,152,15,16
Lindenhof,1986,0,NA,NA,16
Lindenhof,1987,2,14,2,18
Lindenhof,1988,1,8,1,19
Lindenhof,1989,3,36,3,22
Lindenhof,1990,20,172,20,42
Lindenhof,1991,10,99,10,52
Lindenhof,1992,3,27,3,55
Lindenhof,1993,1,7,1,56
Lindenhof,1994,2,14,2,58
Lindenhof,1995,27,235,27,85
Lindenhof,1996,2,13,2,87
Lindenhof,1997,1,7,1,88
Lindenhof,1998,25,194,25,113
Lindenhof,1999,0,NA,NA,113
Lindenhof,2000,11,66,11,124
Lindenhof,2001,1,6,1,125
Lindenhof,2002,1,8,1,126
Lindenhof,2003,1,10,1,127
Lindenhof,2004,16,111,16,143
Lindenhof,2005,8,40,8,151
Lindenhof,2006,0,NA,NA,151
Lindenhof,2007,5,44,5,156
Lindenhof,2008,6,32,6,162
Lindenhof,2009,3,15,3,165
Lindenhof,2010,4,22,4,169
Lindenhof,2011,2,11,2,171
