year,station,temperature
2022,Zch_Stampfenbachstrasse,25.1
2022,Zch_Schimmelstrasse,25.83
2022,Zch_Rosengartenstrasse,25.22
2022,Zch_Stampfenbachstrasse,26.48
2022,Zch_Schimmelstrasse,27
2022,Zch_Rosengartenstrasse,26.43
2022,Zch_Stampfenbachstrasse,30.86
2022,Zch_Schimmelstrasse,31.44
2022,Zch_Rosengartenstrasse,31.29
2022,Zch_Stampfenbachstrasse,30.52
2022,Zch_Schimmelstrasse,31.11
2022,Zch_Rosengartenstrasse,30.77
2022,Zch_Stampfenbachstrasse,29.49
2022,Zch_Schimmelstrasse,30.23
2022,Zch_Rosengartenstrasse,29.58
2022,Zch_Stampfenbachstrasse,33.35
2022,Zch_Schimmelstrasse,34.41
2022,Zch_Rosengartenstrasse,33.77
2022,Zch_Stampfenbachstrasse,35.31
2022,Zch_Schimmelstrasse,35.73
2022,Zch_Rosengartenstrasse,35.63
2022,Zch_Stampfenbachstrasse,32.32
2022,Zch_Schimmelstrasse,32.53
2022,Zch_Rosengartenstrasse,32.02
2022,Zch_Stampfenbachstrasse,30.53
2022,Zch_Schimmelstrasse,31
2022,Zch_Rosengartenstrasse,30.97
2022,Zch_Stampfenbachstrasse,24.45
2022,Zch_Schimmelstrasse,25.05
2022,Zch_Rosengartenstrasse,24.4
2022,Zch_Stampfenbachstrasse,29.27
2022,Zch_Schimmelstrasse,29.86
2022,Zch_Rosengartenstrasse,29.34
2022,Zch_Stampfenbachstrasse,23.38
2022,Zch_Schimmelstrasse,23.83
2022,Zch_Rosengartenstrasse,23.35
2022,Zch_Stampfenbachstrasse,26.23
2022,Zch_Schimmelstrasse,26.71
2022,Zch_Rosengartenstrasse,26.22
2022,Zch_Stampfenbachstrasse,29.13
2022,Zch_Schimmelstrasse,29.79
2022,Zch_Rosengartenstrasse,29.34
2022,Zch_Stampfenbachstrasse,23.94
2022,Zch_Schimmelstrasse,24
2022,Zch_Rosengartenstrasse,23.71
2022,Zch_Stampfenbachstrasse,20.98
2022,Zch_Schimmelstrasse,21.46
2022,Zch_Rosengartenstrasse,20.93
2022,Zch_Stampfenbachstrasse,26.4
