"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"AL-3126","Fraxinus excelsior","Gemeine Esche","FH Eichbühl; Friedhofstrasse, 94","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","53","POINT (2677944 1248881.9)"
"AL-3139","Fraxinus excelsior","Gemeine Esche","FH Eichbühl; Friedhofstrasse, 94","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","54","POINT (2677876.5 1248937.5)"
"AL-4486","Fraxinus excelsior","Gemeine Esche","FH Eichbühl; Friedhofstrasse, 94","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","55","POINT (2678158 1248492.1)"
"AR-2836","Crataegus laevigata","Zweigriffliger Weissdorn","Ginsterstrasse, 25","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus laevigata","Parkbaum","56","POINT (2679710 1247709)"
"AL-7627","Quercus robur","Stiel-Eiche","Hermetschloostrasse, 73-75","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus robur","Strassenbaum","57","POINT (2678182.2 1249796.8)"
"AU-1328","Aesculus hippocastanum","Gemeine Rosskastanie","Hohlstrasse, 400","Altstetten, Albisrieden","Aussersihl","Krankheit","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus hippocastanum","Strassenbaum","58","POINT (2680581.2 1248888.1)"
"AL-1103","Aesculus hippocastanum","Gemeine Rosskastanie","Hohlstrasse, 532","Altstetten, Albisrieden","Altstetten","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Aesculus hippocastanum","Strassenbaum","59","POINT (2679610 1249295.2)"
"AR-342","Acer platanoides","Spitz-Ahorn","In der Ey, 46","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Strassenbaum","60","POINT (2679459.8 1247400.8)"
"AL-48","Sorbus intermedia","Oxelbeere, Schwedische Mehlbeere","Kindergarten Am Suteracher; Am Suteracher, 42","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Sorbus intermedia","Parkbaum","61","POINT (2677944 1249324.1)"
"AL-5543","Prunus padus","Trauben-Kirsche, Faulbaum","Kindergarten Luggwegstrasse 118; Luggwegstrasse, 118","Altstetten, Albisrieden","Altstetten","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus padus","Parkbaum","62","POINT (2679278.2 1248652.1)"
"AR-1232","Salix caprea","Sal-Weide","Langgrütweg, 21","Altstetten, Albisrieden","Albisrieden","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Salix caprea","Parkbaum","63","POINT (2679504 1247483.4)"
"AR-3585","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Letzigraben, 200","Altstetten, Albisrieden","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus sylvestris","Parkbaum","64","POINT (2679664.2 1247364.5)"
"AL-5355","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Luggwegstrasse, 125","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Parkbaum","65","POINT (2679345 1248621.2)"
