"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"HG-4585","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Breitensteinstrasse; Hardturmsteg,","Wipkingen, Fluntern, Unter-, Oberstrass","Höngg","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Prunus avium","Parkbaum","372","POINT (2681146 1249869.8)"
"WP-3595","Betula pendula","Sand-Birke, Weiss-Birke","Emil-Klöti-Strasse, 17","Wipkingen, Fluntern, Unter-, Oberstrass","Wipkingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula 'Zwitsers Glorie'","Strassenbaum","374","POINT (2681450.5 1250426.8)"
"WP-2116","Chamaecyparis lawsoniana","Lawsons Scheinzypresse","Im Sydefädeli; Hönggerstrasse, 131-141","Wipkingen, Fluntern, Unter-, Oberstrass","Wipkingen","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Chamaecyparis lawsoniana","Parkbaum","381","POINT (2681282.5 1249971.5)"
"WP-372","Robinia pseudoacacia 'Umbraculifera'","Robinie, Schein-Akazie","Rebbergstrasse, 11","Wipkingen, Fluntern, Unter-, Oberstrass","Wipkingen","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Carpinus betulus 'Frans Fontaine'","Strassenbaum","396","POINT (2681367.2 1250263)"
"LE-1741","Fraxinus excelsior","Gemeine Esche","Gemeinschaftszentrum Rebenweg; Rebenweg, 20220206","Wollishofen, Leimbach","Leimbach","abgestorben","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","415","POINT (2681222 1243188.2)"
"LE-1859","Alnus glutinosa","Schwarz-Erle, Rot-Erle","Risweg","Wollishofen, Leimbach","Leimbach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus glutinosa","Parkbaum","417","POINT (2680899 1241764.4)"
"UN-1705","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","3","POINT (2682461.5 1251152)"
"UN-1721","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","4","POINT (2682522.5 1251007.5)"
"UN-1726","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","5","POINT (2682531.2 1251003.1)"
"UN-1732","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","6","POINT (2682512.2 1251002.1)"
"UN-1736","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","7","POINT (2682511.8 1250992.1)"
"UN-1926","Betula pendula","Sand-Birke, Weiss-Birke","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula","Parkbaum","8","POINT (2682398 1251110.4)"
"UN-2267","Acer saccharinum","Silber-Ahorn","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer saccharinum","Parkbaum","9","POINT (2682257.5 1251361.2)"
"UN-2638","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","10","POINT (2682536 1250981.8)"
"UN-2639","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","11","POINT (2682540 1250984.2)"
"UN-5129","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Parkbaum","12","POINT (2682526.5 1251000.5)"
"UN-5989","Acer platanoides 'Royal Red'","Spitz-Ahorn","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Royal Red'","Parkbaum","13","POINT (2682543.2 1251022)"
"UN-7126","Prunus dulcis cv.","Mandelbaum-Obstgehölz, Sorte unbekannt","FH Nordheim","Affoltern, Friedhof Nordheim","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus dulcis cv.","Parkbaum","14","POINT (2682427.8 1251149.1)"
"AF-2074","Acer platanoides 'Grenoble'","Spitz-Ahorn","Wehntalerstrasse, 324","Affoltern, Friedhof Nordheim","Affoltern","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer platanoides 'Grenoble'","Strassenbaum","17","POINT (2681850.8 1251882)"
"EN-2913","Picea abies","Rottanne, Fichte","Belvoirpark","Altstadt l.d. Limmat, Enge","Enge","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Picea abies","Parkbaum","18","POINT (2682757 1245733.5)"
"EN-2921","Picea abies","Rottanne, Fichte","Belvoirpark","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Picea abies","Parkbaum","19","POINT (2682758.2 1245726.1)"
"EN-1188","Prunus cerasifera 'Woodii'","Kirschpflaume","Bleicherweg","Altstadt l.d. Limmat, Enge","Enge","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","20","POINT (2682896.8 1246945)"
"EN-4195","Toona sinensis 'Flamingo'","Chinesischer Surenbaum","Bürglistrasse, gü4","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Toona sinensis","Strassenbaum","21","POINT (2682362.8 1246446.2)"
"EN-14","Fraxinus excelsior","Gemeine Esche","Klopstockwiese; Bederstrasse, 110","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","22","POINT (2682103.5 1246238.4)"
"EN-387","Prunus cerasifera 'Woodii'","Kirschpflaume","Lavaterstrasse, 49","Altstadt l.d. Limmat, Enge","Enge","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","23","POINT (2682630.8 1246313.6)"
"EN-3933","Populus tremula 'Erecta'","Zitter-Pappel, Espe","Lessingstrasse, 49","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Populus tremula 'Erecta'","Strassenbaum","24","POINT (2682071.2 1245437.5)"
"EN-3948","Populus tremula 'Erecta'","Zitter-Pappel, Espe","Lessingstrasse, 49","Altstadt l.d. Limmat, Enge","Enge","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Populus tremula 'Erecta'","Strassenbaum","25","POINT (2682059.8 1245520.9)"
"EN-3759","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium","Parkbaum","26","POINT (2682436.8 1245898.8)"
"EN-3771","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","27","POINT (2682416.8 1245920.1)"
"EN-3773","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","28","POINT (2682412.2 1245921.4)"
"EN-3783","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","29","POINT (2682429.5 1245921.9)"
"EN-3785","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","30","POINT (2682431.5 1245922.1)"
"EN-3786","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","31","POINT (2682415.8 1245922)"
"EN-3787","Magnolia spec.","Magnolie, Art unbekannt","Rieterpark; Gablerstrasse, 13-15","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia spec.","Parkbaum","32","POINT (2682414 1245920.6)"
"EN-6761","Fraxinus excelsior","Gemeine Esche","Rieterstrasse","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Strassenbaum","33","POINT (2682146.2 1245427.9)"
"AA-2940","Fraxinus excelsior","Gemeine Esche","Schanzengrabenpromenade","Altstadt l.d. Limmat, Enge","Altstadt","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","34","POINT (2682830.2 1247714)"
"EN-849","Crataegus x media 'Paul's Scarlet'","Zweigriffliger Weissdorn (laevigata x monogyna)","Scheideggstrasse, 59","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x media 'Paul's Scarlet'","Strassenbaum","35","POINT (2682411.8 1245436.5)"
"EN-855","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","Scheideggstrasse","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Strassenbaum","36","POINT (2682412 1245505.1)"
"EN-902","Prunus 'Umineko'","Zier-Kirsche","Seestrasse","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus 'Umineko'","Strassenbaum","37","POINT (2682561.5 1246209.1)"
"EN-3724","Acer platanoides","Spitz-Ahorn","Villa Schönberg; Gablerstrasse, 14-20","Altstadt l.d. Limmat, Enge","Enge","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","38","POINT (2682483.5 1246037.4)"
"HO-3598","Quercus robur","Stiel-Eiche","Artergut; Minervastrasse,","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus robur","Parkbaum","93","POINT (2684282 1246768.9)"
"HO-106","Malus spec.","Zier-Apfel, Art unbekannt","Aurorastrasse, 32","Hirslanden, Hottingen, Riesbach","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Malus spec.","Strassenbaum","94","POINT (2685362.2 1247370.9)"
"HO-121","Malus spec.","Zier-Apfel, Art unbekannt","Aurorastrasse, 32","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Malus spec.","Strassenbaum","95","POINT (2685362.8 1247360.5)"
"HO-3091","Carpinus betulus","Gemeine Hain- oder Weissbuche","Aurorastrasse, 42","Hirslanden, Hottingen, Riesbach","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Carpinus betulus","Strassenbaum","96","POINT (2685354 1247331.2)"
"HO-122","Malus spec.","Zier-Apfel, Art unbekannt","Aurorastrasse","Hirslanden, Hottingen, Riesbach","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Malus spec.","Strassenbaum","97","POINT (2685361.5 1247350.5)"
"HO-73","Acer platanoides 'Crimson King'","Spitz-Ahorn","Degenriedstrasse","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Crimson King'","Parkbaum","98","POINT (2685870.2 1247364.4)"
"RI-6314","Picea abies","Rottanne, Fichte","Hambergersteig; Zollikerstrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","99","POINT (2685028.5 1245180.6)"
"RI-6316","Picea abies","Rottanne, Fichte","Hambergersteig; Zollikerstrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","100","POINT (2685026.8 1245188)"
"RI-6317","Picea abies","Rottanne, Fichte","Hambergersteig; Zollikerstrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","101","POINT (2685023.8 1245190.5)"
"RI-6322","Picea abies","Rottanne, Fichte","Hambergersteig","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","102","POINT (2684966.8 1245160.5)"
"HO-4536","Acer palmatum 'Atropurpureum'","Fächer-Ahorn","Hohenbühlstrasse","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer palmatum 'Atropurpureum'","Parkbaum","103","POINT (2684115.5 1246733.1)"
"HI-736","Fraxinus ornus 'Paus Johannes-Paulus II' (Obelisk)","Blumen-Esche, Manna-Esche","Jupiterstrasse, 26","Hirslanden, Hottingen, Riesbach","Hirslanden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus ornus 'Paus Johannes-Paulus II' (Obelisk)","Strassenbaum","104","POINT (2684893.2 1246564.5)"
"HI-43","Aesculus x carnea 'Briotii'","Scharlach-Rosskastanie","Kapfstrasse, 39","Hirslanden, Hottingen, Riesbach","Hirslanden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","105","POINT (2685461.5 1246451.6)"
"HO-343","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Klosbachstrasse, 109","Hirslanden, Hottingen, Riesbach","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","106","POINT (2684843.2 1247018.6)"
"HO-325","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Klosbachstrasse, 141","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","107","POINT (2684961.2 1247135)"
"HO-3309","Fagus sylvatica","Rotbuche","Merkurstrasse","Hirslanden, Hottingen, Riesbach","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fagus sylvatica","Parkbaum","108","POINT (2684162.5 1246743.8)"
"HO-4839","Quercus cerris","Zerr-Eiche","Römerhofplatz","Hirslanden, Hottingen, Riesbach","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus cerris","Parkbaum","109","POINT (2684719.5 1246981.8)"
"RI-4785","Fraxinus angustifolia 'Raywood'","Schmalblättrige Esche","Seefeldstrasse, 162","Hirslanden, Hottingen, Riesbach","Riesbach","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Fraxinus angustifolia 'Raywood'","Strassenbaum","110","POINT (2684393.5 1245660.1)"
"RI-4786","Fraxinus angustifolia 'Raywood'","Schmalblättrige Esche","Seefeldstrasse, 162","Hirslanden, Hottingen, Riesbach","Riesbach","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Fraxinus angustifolia 'Raywood'","Strassenbaum","111","POINT (2684402.5 1245646.8)"
"RI-3673","Ailanthus altissima","Götterbaum","Strandbad Tiefenbrunnen; Bellerivestrasse, 180-216","Hirslanden, Hottingen, Riesbach","Riesbach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Ailanthus altissima","Parkbaum","112","POINT (2684569 1245171.6)"
"HI-122","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Streulistrasse, 71","Hirslanden, Hottingen, Riesbach","Hirslanden","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia 'Unifoliola'","Strassenbaum","113","POINT (2685089 1246436.4)"
"HI-117","Populus nigra 'Italica'","Pyramiden-Pappel, Italienische Pappel","Witikonerstrasse, 15","Hirslanden, Hottingen, Riesbach","Hirslanden","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Populus nigra 'Italica'","Parkbaum","114","POINT (2685180.2 1246497.6)"
"RI-4059","Liriodendron tulipifera","Tulpenbaum","Zürichhorn; Bellerivestrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liriodendron tulipifera","Parkbaum","115","POINT (2684202.8 1245251.8)"
"RI-4065","Quercus palustris","Sumpf-Eiche","Zürichhorn; Bellerivestrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus palustris","Parkbaum","116","POINT (2684205 1245291)"
"RI-4066","Quercus palustris","Sumpf-Eiche","Zürichhorn; Bellerivestrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus palustris","Parkbaum","117","POINT (2684198.8 1245287.8)"
"RI-4067","Quercus palustris","Sumpf-Eiche","Zürichhorn; Bellerivestrasse,","Hirslanden, Hottingen, Riesbach","Riesbach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus palustris","Parkbaum","118","POINT (2684195.8 1245283.1)"
"SE-3475","Robinia pseudoacacia","Robinie, Schein-Akazie","Am Katzenbach","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Ostrya carpinifolia","Parkbaum","166","POINT (2682954.8 1253375.8)"
"SE-4418","Robinia pseudoacacia","Robinie, Schein-Akazie","Binzmühlestrasse, 56","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Robinia pseudoacacia","Strassenbaum","167","POINT (2683453 1252051.5)"
"UN-11","Betula pendula","Sand-Birke, Weiss-Birke","Birchstrasse, 19","Oerlikon Nord, Seebach","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Strassenbaum","168","POINT (2682741.5 1251016.4)"
"UN-12","Betula pendula","Sand-Birke, Weiss-Birke","Birchstrasse, 27","Oerlikon Nord, Seebach","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Strassenbaum","169","POINT (2682753.5 1251046.9)"
"SE-2569","Larix decidua","Europäische Lärche","FH Schwandenholz; Seebacherstrasse, 130","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Larix decidua","Parkbaum","170","POINT (2682660.2 1252699)"
"SE-2576","Betula pendula","Sand-Birke, Weiss-Birke","FH Schwandenholz; Seebacherstrasse, 130","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Betula pendula","Parkbaum","171","POINT (2682643 1252694.1)"
"SE-2594","Picea abies","Rottanne, Fichte","FH Schwandenholz; Seebacherstrasse, 130","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","172","POINT (2682601.2 1252718.4)"
"SE-2620","Acer platanoides","Spitz-Ahorn","FH Schwandenholz; Seebacherstrasse, 130","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","173","POINT (2682551 1252808.8)"
"SE-3080","Chamaecyparis obtusa","Hinoki-Scheinzypresse","FH Schwandenholz; Seebacherstrasse, 130","Oerlikon Nord, Seebach","Seebach","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Chamaecyparis obtusa","Parkbaum","174","POINT (2682680.5 1252943.8)"
"SE-204","Fraxinus excelsior 'Diversifolia'","Einblättrige Esche","Frohbühlstrasse","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior 'Diversifolia'","Strassenbaum","175","POINT (2683973.8 1253605.6)"
"SE-205","Fraxinus excelsior 'Diversifolia'","Einblättrige Esche","Frohbühlstrasse","Oerlikon Nord, Seebach","Seebach","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior 'Diversifolia'","Strassenbaum","176","POINT (2683968.8 1253614.6)"
"SE-206","Fraxinus excelsior 'Diversifolia'","Einblättrige Esche","Frohbühlstrasse","Oerlikon Nord, Seebach","Seebach","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior 'Diversifolia'","Strassenbaum","177","POINT (2683963.5 1253623.2)"
"SE-4025","Fraxinus excelsior","Gemeine Esche","Glatttalstrasse, 109","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","178","POINT (2683463 1253681.6)"
"SE-3566","Quercus robur","Stiel-Eiche","Glatttalstrasse","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Quercus robur","Parkbaum","179","POINT (2683503.2 1253932)"
"SE-3572","Quercus palustris","Sumpf-Eiche","Glatttalstrasse","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Quercus palustris","Parkbaum","180","POINT (2683534.5 1253951.6)"
"SE-3577","Quercus palustris","Sumpf-Eiche","Glatttalstrasse","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Quercus palustris","Parkbaum","181","POINT (2683534.8 1253966)"
"OE-1260","Betula pendula","Sand-Birke, Weiss-Birke","Holunderweg, 27","Oerlikon Nord, Seebach","Oerlikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","182","POINT (2682756.2 1251483.5)"
"OE-589","Alnus incana","Grau-Erle, Weiss-Erle","Im Birch (Schulhaus); Margrit-Rainer-Strasse, 5","Oerlikon Nord, Seebach","Oerlikon","Krankheit","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus incana","Parkbaum","183","POINT (2683116.8 1252359.6)"
"SE-5122","Prunus avium cv.","Süss-Kirsche-Obstgehölz, Sorte unbekannt","Käshaldenstrasse, 20","Oerlikon Nord, Seebach","Seebach","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Prunus avium cv.","Parkbaum","184","POINT (2682929.8 1253848.9)"
"OE-2326","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Fraxinus excelsior","Parkbaum","185","POINT (2683012.2 1252180.5)"
"OE-2337","Betula pendula","Sand-Birke, Weiss-Birke","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","Sturmschaden","Vitalität (absterbend, abgestorben)","in Abklärung","Zelkova serrata","Parkbaum","186","POINT (2683054.8 1252177.6)"
"OE-2370","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Fraxinus excelsior","Parkbaum","187","POINT (2683004 1252172.9)"
"OE-2372","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Fraxinus excelsior","Parkbaum","188","POINT (2683011.8 1252172.4)"
"OE-2497","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Fraxinus excelsior","Parkbaum","189","POINT (2683005.8 1252144.1)"
"OE-2628","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Fraxinus excelsior","Parkbaum","190","POINT (2683007.8 1252115.4)"
"OE-2642","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","Krankheit","Vitalität (absterbend, abgestorben)","in Abklärung","Fraxinus excelsior","Parkbaum","191","POINT (2682999.8 1252111.9)"
"OE-2658","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Fraxinus excelsior","Parkbaum","192","POINT (2682991.8 1252108.4)"
"OE-2717","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Fraxinus excelsior","Parkbaum","193","POINT (2682998.5 1252095.6)"
"OE-2751","Fraxinus excelsior","Gemeine Esche","Oerlikerpark; Birchstrasse,","Oerlikon Nord, Seebach","Oerlikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Gymnocladus dioica","Parkbaum","194","POINT (2683044.8 1252145.5)"
"SE-5174","Salix alba","Weiss-Weide, Silber-Weide","Schärenmoosstrasse, hinter 32","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Salix alba","Parkbaum","195","POINT (2684128 1252826.8)"
"SE-2024","Acer platanoides","Spitz-Ahorn","Schulhaus Buhn; Höhenring, 36","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","196","POINT (2683435.2 1252794.5)"
