"objid","baumnummer","geometry"
"155051","WO-6382","POINT (2681459.5 1244811.1)"
"163091","WO-6421","POINT (2681522.2 1244879)"
"155489","WO-6459","POINT (2681536.8 1244910.5)"
"155048","WO-6376","POINT (2681460.5 1244806.4)"
"97901","WD-10651","POINT (2681412.2 1244563.9)"
"97895","WD-10648","POINT (2681389.2 1244573.8)"
"209822","WO-6365","POINT (2681565 1244840.4)"
"163103","WO-6428","POINT (2681501.5 1244804.1)"
"155729","WO-6410","POINT (2681577.2 1244952.8)"
"155069","WO-6384","POINT (2681464.2 1244822)"
"93665","WO-6657","POINT (2681520 1244652.8)"
"155195","WO-5090","POINT (2681483.8 1244875.4)"
"94790","WO-6647","POINT (2681498.2 1244769.4)"
"113072","WO-7793","POINT (2681561 1244742.2)"
"112955","WO-7776","POINT (2681542 1244715.4)"
"155315","WO-6402","POINT (2681516.2 1244933.8)"
"155339","WO-6434","POINT (2681491 1244828.9)"
"113330","WO-7772","POINT (2681534.8 1244716.4)"
"176726","WO-3219","POINT (2681486.8 1244890.6)"
"188933","WO-6423","POINT (2681516.8 1244868.5)"
"112844","WO-7770","POINT (2681534.2 1244727.1)"
"94799","WO-6664","POINT (2681499.2 1244745.5)"
"155609","WO-6415","POINT (2681561.2 1244938.4)"
"94385","WO-6669","POINT (2681488.2 1244767.1)"
"94373","WO-6652","POINT (2681489.8 1244784.6)"
"139823","WD-10644","POINT (2681382.5 1244721.2)"
"231617","WO-6969","POINT (2681454.8 1244833.8)"
"155459","WO-6441","POINT (2681505.5 1244851.8)"
"112964","WO-7779","POINT (2681542 1244722.2)"
"113075","WO-7794","POINT (2681561.5 1244747)"
"155057","WO-6377","POINT (2681449.2 1244804.8)"
"112949","WO-7774","POINT (2681539.2 1244710.6)"
"154940","WO-6371","POINT (2681475.8 1244812.6)"
"94787","WO-6648","POINT (2681495.8 1244774.5)"
"94781","WO-6651","POINT (2681496.5 1244781.6)"
"113345","WO-7816","POINT (2681538.8 1244721.5)"
"94778","WO-6645","POINT (2681499.8 1244786.5)"
"155480","WO-6454","POINT (2681521.2 1244892.4)"
"155483","WO-6457","POINT (2681534.2 1244907.9)"
"155603","WO-6461","POINT (2681545 1244920.4)"
"112967","WO-7780","POINT (2681545.8 1244718.4)"
"225746","WD-3070","POINT (2681198.2 1244992.9)"
"139973","WO-6354","POINT (2681568.8 1244727.2)"
"139826","WO-6665","POINT (2681491.5 1244792.2)"
"139976","WO-6357","POINT (2681569.8 1244722.2)"
"155732","WO-6408","POINT (2681580.2 1244955.2)"
"113186","WO-7800","POINT (2681544 1244743.6)"
"94394","WO-6672","POINT (2681488.8 1244756.8)"
"167336","WO-6431","POINT (2681496 1244814.6)"
"113333","WO-7812","POINT (2681540.5 1244726)"
"155060","WO-6378","POINT (2681444.5 1244807)"
"155486","WO-6458","POINT (2681534 1244910.6)"
"94802","WO-6655","POINT (2681507.2 1244711.5)"
"93677","WO-6660","POINT (2681534.5 1244587.2)"
"112976","WO-7783","POINT (2681555.5 1244724.6)"
"155468","WO-6443","POINT (2681507 1244856.6)"
"94370","WO-6667","POINT (2681491 1244787.6)"
"233129","WD-3071","POINT (2681191.2 1244981.2)"
"94772","WO-6674","POINT (2681493.5 1244734.8)"
"155210","WO-6395","POINT (2681510.5 1244922.9)"
"98039","WD-10639","POINT (2681400.8 1244994)"
"113081","WO-7796","POINT (2681552.5 1244742.8)"
"176444","WO-6450","POINT (2681505 1244889.8)"
"93668","WO-6663","POINT (2681529.2 1244610.6)"
"98165","WO-6713","POINT (2681481.5 1244921.4)"
"176723","WO-3218","POINT (2681485.2 1244901.1)"
"155075","WO-6387","POINT (2681472 1244826.4)"
"113198","WO-7804","POINT (2681541.2 1244742)"
"159620","WD-10621","POINT (2681189.5 1245060.1)"
"155321","WO-6401","POINT (2681517.5 1244932.1)"
"155741","WO-6405","POINT (2681582.5 1244957.4)"
"112961","WO-7778","POINT (2681538.8 1244718.8)"
"163094","WO-6424","POINT (2681510.2 1244842.9)"
"113213","WO-7811","POINT (2681547.5 1244733.1)"
"155324","WO-6403","POINT (2681520.2 1244936.1)"
"113195","WO-7803","POINT (2681533.2 1244740.1)"
"155462","WO-6442","POINT (2681506.5 1244853.4)"
"93671","WO-6658","POINT (2681533.5 1244596.9)"
"112838","WO-7768","POINT (2681523.8 1244718.6)"
"113066","WO-7791","POINT (2681560 1244737.2)"
"94391","WO-6671","POINT (2681489.2 1244759.8)"
"155747","WO-6427","POINT (2681502.2 1244807.1)"
"163097","WO-6425","POINT (2681508.5 1244829.5)"
"112841","WO-7769","POINT (2681530.5 1244720.1)"
"228077","WO-6965","POINT (2681457.5 1244842.8)"
"155186","WO-6390","POINT (2681472.2 1244832.4)"
"97904","WD-10653","POINT (2681407.8 1244520)"
"112973","WO-7782","POINT (2681550.2 1244724.5)"
"94367","WO-6666","POINT (2681491.5 1244789.4)"
"155207","WO-6396","POINT (2681509.2 1244925)"
"155465","WO-6444","POINT (2681507 1244854.8)"
"177407","WO-6433","POINT (2681497 1244819.1)"
"155618","WO-6414","POINT (2681563.2 1244937.9)"
"112481","WO-6676","POINT (2681520.5 1244610.1)"
"113342","WO-7815","POINT (2681537.5 1244728.2)"
"94382","WO-6649","POINT (2681488.8 1244773.1)"
"113087","WO-7798","POINT (2681549.2 1244751.4)"
"176447","WO-6451","POINT (2681506.5 1244890.4)"
"114569","WD-10640","POINT (2681392 1245020.8)"
"113063","WO-7790","POINT (2681560 1244733.4)"
"155054","WO-6383","POINT (2681460.5 1244813.6)"
"166289","WO-6448","POINT (2681516.5 1244884.4)"
"155606","WO-6418","POINT (2681552.5 1244927.9)"
"113327","WO-7807","POINT (2681546 1244739.9)"
"155750","WO-6422","POINT (2681518.2 1244872)"
"113351","WO-7818","POINT (2681556.2 1244738.5)"
"159617","WD-10622","POINT (2681203.2 1245047.5)"
"93680","WO-6659","POINT (2681539.2 1244579.9)"
"155474","WO-6446","POINT (2681506.8 1244875)"
"155063","WO-6380","POINT (2681450 1244818.9)"
"94784","WO-6646","POINT (2681501 1244777.5)"
"93659","WO-6675","POINT (2681499.2 1244698.9)"
"155078","WO-6388","POINT (2681465 1244832.8)"
"158273","WO-6462","POINT (2681586.8 1244984)"
"112979","WO-7784","POINT (2681559.2 1244723.8)"
"94775","WO-6644","POINT (2681498.2 1244789)"
"113339","WO-7814","POINT (2681541.5 1244731.5)"
"113216","WO-6317","POINT (2681552 1244746)"
"94379","WO-6650","POINT (2681488.8 1244778.1)"
"155045","WO-6372","POINT (2681473.8 1244809.1)"
"93683","WO-6662","POINT (2681539.5 1244566.5)"
"113057","WO-7788","POINT (2681568 1244732.5)"
"113084","WO-7797","POINT (2681553 1244750.4)"
"113060","WO-7789","POINT (2681565.5 1244736)"
"155477","WO-6453","POINT (2681518.5 1244888.1)"
"155594","WO-6455","POINT (2681530.2 1244920.9)"
"154934","WO-6369","POINT (2681477.2 1244809)"
"94769","WO-6673","POINT (2681492.5 1244740.4)"
"155345","WO-6437","POINT (2681486.5 1244850.5)"
"113219","WO-7809","POINT (2681549.5 1244738.9)"
"15374","WD-10643","POINT (2681358 1244790.8)"
"93674","WO-6661","POINT (2681534.5 1244591.9)"
"155627","WO-6411","POINT (2681575.2 1244950.4)"
"113192","WO-7802","POINT (2681538.2 1244741.8)"
"162791","WO-4695","POINT (2682714 1244133.9)"
